detector,snr_db,pd,measured_pfa,target_pfa,threshold,n_signal,n_noise
mme_L4,-14.0,0.18775,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,-12.0,0.4395,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,-10.0,0.72075,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,-8.0,0.94325,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,-6.0,0.99625,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,-4.0,1.0,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,-2.0,1.0,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,0.0,1.0,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,2.0,1.0,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,4.0,1.0,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,6.0,1.0,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,8.0,1.0,0.01,0.01,1.3272026777267456,4000,13000
mme_L4,10.0,1.0,0.01,0.01,1.3272026777267456,4000,13000
cav_L4,-14.0,0.21875,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,-12.0,0.48675,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,-10.0,0.7685,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,-8.0,0.96025,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,-6.0,0.99825,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,-4.0,1.0,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,-2.0,1.0,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,0.0,1.0,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,2.0,1.0,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,4.0,1.0,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,6.0,1.0,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,8.0,1.0,0.00976923076923077,0.01,1.1731620504224622,4000,13000
cav_L4,10.0,1.0,0.00976923076923077,0.01,1.1731620504224622,4000,13000
mme_L8,-14.0,0.1795,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,-12.0,0.41675,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,-10.0,0.69525,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,-8.0,0.93,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,-6.0,0.99575,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,-4.0,1.0,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,-2.0,1.0,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,0.0,1.0,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,2.0,1.0,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,4.0,1.0,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,6.0,1.0,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,8.0,1.0,0.009153846153846153,0.01,1.5522757768630981,4000,13000
mme_L8,10.0,1.0,0.009153846153846153,0.01,1.5522757768630981,4000,13000
cav_L8,-14.0,0.19975,0.010923076923076923,0.01,1.3224482499185444,4000,13000
cav_L8,-12.0,0.45375,0.010923076923076923,0.01,1.3224482499185444,4000,13000
cav_L8,-10.0,0.73525,0.010923076923076923,0.01,1.3224482499185444,4000,13000
cav_L8,-8.0,0.94925,0.010923076923076923,0.01,1.3224482499185444,4000,13000
cav_L8,-6.0,0.998,0.010923076923076923,0.01,1.3224482499185444,4000,13000
cav_L8,-4.0,1.0,0.010923076923076923,0.01,1.3224482499185444,4000,13000
cav_L8,-2.0,1.0,0.010923076923076923,0.01,1.3224482499185444,4000,13000
cav_L8,0.0,1.0,0.010923076923076923,0.01,1.3224482499185444,4000,13000
cav_L8,2.0,1.0,0.010923076923076923,0.01,1.3224482499185444,4000,13000
cav_L8,4.0,1.0,0.010923076923076923,0.01,1.3224482499185444,4000,13000
