measured Pfa Psi-NN: 0.0108  [0.0090, 0.0125]  (n=13000)
measured Pfa CAV: 0.0098  [0.0081, 0.0115]  (n=13000)

  SNR    Psi-NN [95% CI]             CAV [95% CI]        diff [95% CI]          only-Psi-NN only-CAV
  -14     0.288 [0.266,0.312]     0.219 [0.203,0.238]  +0.070 [+0.044,+0.094]      392    113
  -12     0.549 [0.526,0.575]     0.487 [0.467,0.511]  +0.062 [+0.033,+0.090]      416    168
  -10     0.798 [0.781,0.815]     0.768 [0.750,0.789]  +0.030 [+0.007,+0.050]      249    131
   -8     0.966 [0.959,0.972]     0.960 [0.954,0.968]  +0.006 [-0.002,+0.013]       75     52
   -6     0.998 [0.996,0.999]     0.998 [0.997,1.000]  -0.001 [-0.002,+0.000]        1      4
   -4     1.000 [1.000,1.000]     1.000 [1.000,1.000]  +0.000 [+0.000,+0.000]        0      0
   -2     1.000 [1.000,1.000]     1.000 [1.000,1.000]  +0.000 [+0.000,+0.000]        0      0
    0     1.000 [1.000,1.000]     1.000 [1.000,1.000]  +0.000 [+0.000,+0.000]        0      0
    2     1.000 [1.000,1.000]     1.000 [1.000,1.000]  +0.000 [+0.000,+0.000]        0      0
    4     1.000 [1.000,1.000]     1.000 [1.000,1.000]  +0.000 [+0.000,+0.000]        0      0
    6     1.000 [1.000,1.000]     1.000 [1.000,1.000]  +0.000 [+0.000,+0.000]        0      0
    8     1.000 [1.000,1.000]     1.000 [1.000,1.000]  +0.000 [+0.000,+0.000]        0      0
   10     1.000 [1.000,1.000]     1.000 [1.000,1.000]  +0.000 [+0.000,+0.000]        0      0
