======================================================================
CAE DECODER BOTTLENECK ABLATION
Generated: 2026-05-24 22:52:30
======================================================================

Variant        Params     AUC   gamma   mu_H0 sigma_H0
----------------------------------------------------------
original       52,977  0.9853  0.0571  0.0379   0.0083
mid            69,953  0.9863  0.0623  0.0420   0.0087
symmetric      93,025  0.9862  0.0624  0.0420   0.0088

Pd vs SNR (Pfa=0.01, upper-tail):
  SNR     original          mid    symmetric
--------------------------------------------
  -10       0.5425       0.5513       0.5487
   -8       0.7675       0.7738       0.7863
   -6       0.8762       0.8888       0.8925
   -4       0.9738       0.9812       0.9812
   -2       0.9825       0.9925       0.9912
    0       0.9988       0.9988       0.9988
    2       1.0000       1.0000       1.0000
    4       1.0000       1.0000       1.0000
    6       1.0000       1.0000       1.0000
    8       1.0000       1.0000       1.0000
   10       1.0000       1.0000       1.0000
