seed,condition,tx_ibo_db,rx_backoff_db,mode,modulation,snr_db,model,gamma,target_pfa,pd,pd_lo,pd_hi,measured_pfa,pfa_lo,pfa_hi,auc,n_signal,n_noise
101,linear,,,frozen,bpsk,-10,CAE,0.0592348575592041,0.01,0.648,0.6178838670299425,0.6769834124583332,0.009,0.004742060667477063,0.01701581616533807,0.960589,1000,1000
101,linear,,,frozen,bpsk,-10,PsiNN,0.20215195417404175,0.01,0.993,0.9856216845342334,0.9966051315990092,0.006,0.0027526691418763745,0.01302816824185209,0.9996290000000001,1000,1000
101,linear,,,frozen,qpsk,-10,CAE,0.0592348575592041,0.01,0.778,0.7512053591381822,0.8026669631438492,0.009,0.004742060667477063,0.01701581616533807,0.973899,1000,1000
101,linear,,,frozen,qpsk,-10,PsiNN,0.20215195417404175,0.01,0.91,0.8906582073569279,0.926203850684917,0.006,0.0027526691418763745,0.01302816824185209,0.992403,1000,1000
101,linear,,,frozen,16qam,-10,CAE,0.0592348575592041,0.01,0.303,0.27531542432193984,0.3321923185213688,0.009,0.004742060667477063,0.01701581616533807,0.8725284999999998,1000,1000
101,linear,,,frozen,16qam,-10,PsiNN,0.20215195417404175,0.01,0.75,0.7222397197409139,0.7758469010163086,0.006,0.0027526691418763745,0.01302816824185209,0.979204,1000,1000
101,linear,,,frozen,32qam,-10,CAE,0.0592348575592041,0.01,0.282,0.25498602521354063,0.3106824414861613,0.009,0.004742060667477063,0.01701581616533807,0.8608275000000001,1000,1000
101,linear,,,frozen,32qam,-10,PsiNN,0.20215195417404175,0.01,0.711,0.6821395598954265,0.7382455480236692,0.006,0.0027526691418763745,0.01302816824185209,0.9728015,1000,1000
101,linear,,,recalibrated,bpsk,-10,CAE,0.0592348575592041,0.01,0.648,0.6178838670299425,0.6769834124583332,0.009,0.004742060667477063,0.01701581616533807,0.960589,1000,1000
101,linear,,,recalibrated,bpsk,-10,PsiNN,0.20215195417404175,0.01,0.993,0.9856216845342334,0.9966051315990092,0.006,0.0027526691418763745,0.01302816824185209,0.9996290000000001,1000,1000
101,linear,,,recalibrated,qpsk,-10,CAE,0.0592348575592041,0.01,0.778,0.7512053591381822,0.8026669631438492,0.009,0.004742060667477063,0.01701581616533807,0.973899,1000,1000
101,linear,,,recalibrated,qpsk,-10,PsiNN,0.20215195417404175,0.01,0.91,0.8906582073569279,0.926203850684917,0.006,0.0027526691418763745,0.01302816824185209,0.992403,1000,1000
101,linear,,,recalibrated,16qam,-10,CAE,0.0592348575592041,0.01,0.303,0.27531542432193984,0.3321923185213688,0.009,0.004742060667477063,0.01701581616533807,0.8725284999999998,1000,1000
101,linear,,,recalibrated,16qam,-10,PsiNN,0.20215195417404175,0.01,0.75,0.7222397197409139,0.7758469010163086,0.006,0.0027526691418763745,0.01302816824185209,0.979204,1000,1000
101,linear,,,recalibrated,32qam,-10,CAE,0.0592348575592041,0.01,0.282,0.25498602521354063,0.3106824414861613,0.009,0.004742060667477063,0.01701581616533807,0.8608275000000001,1000,1000
101,linear,,,recalibrated,32qam,-10,PsiNN,0.20215195417404175,0.01,0.711,0.6821395598954265,0.7382455480236692,0.006,0.0027526691418763745,0.01302816824185209,0.9728015,1000,1000
101,linear,,,frozen,bpsk,-8,CAE,0.0592348575592041,0.01,0.863,0.8402949039724817,0.8829268693670053,0.009,0.004742060667477063,0.01701581616533807,0.989444,1000,1000
101,linear,,,frozen,bpsk,-8,PsiNN,0.20215195417404175,0.01,0.999,0.9943574414020421,0.9998234536293739,0.013,0.0076128203893510256,0.022114442375579666,0.999949,1000,1000
101,linear,,,frozen,qpsk,-8,CAE,0.0592348575592041,0.01,0.95,0.9346861797557492,0.9618697376072513,0.009,0.004742060667477063,0.01701581616533807,0.9973705,1000,1000
101,linear,,,frozen,qpsk,-8,PsiNN,0.20215195417404175,0.01,0.996,0.9897604437227377,0.9984434118595916,0.013,0.0076128203893510256,0.022114442375579666,0.9998409999999999,1000,1000
101,linear,,,frozen,16qam,-8,CAE,0.0592348575592041,0.01,0.509,0.47804015149447454,0.5398909668527856,0.009,0.004742060667477063,0.01701581616533807,0.9291685000000001,1000,1000
101,linear,,,frozen,16qam,-8,PsiNN,0.20215195417404175,0.01,0.943,0.9268629323405141,0.9557465596412841,0.013,0.0076128203893510256,0.022114442375579666,0.9959970000000001,1000,1000
101,linear,,,frozen,32qam,-8,CAE,0.0592348575592041,0.01,0.503,0.4720586747142764,0.5339183647348104,0.009,0.004742060667477063,0.01701581616533807,0.9361200000000001,1000,1000
101,linear,,,frozen,32qam,-8,PsiNN,0.20215195417404175,0.01,0.935,0.9179944906866292,0.948676229430938,0.013,0.0076128203893510256,0.022114442375579666,0.9946389999999999,1000,1000
101,linear,,,recalibrated,bpsk,-8,CAE,0.0592348575592041,0.01,0.863,0.8402949039724817,0.8829268693670053,0.009,0.004742060667477063,0.01701581616533807,0.989444,1000,1000
101,linear,,,recalibrated,bpsk,-8,PsiNN,0.20215195417404175,0.01,0.999,0.9943574414020421,0.9998234536293739,0.013,0.0076128203893510256,0.022114442375579666,0.999949,1000,1000
101,linear,,,recalibrated,qpsk,-8,CAE,0.0592348575592041,0.01,0.95,0.9346861797557492,0.9618697376072513,0.009,0.004742060667477063,0.01701581616533807,0.9973705,1000,1000
101,linear,,,recalibrated,qpsk,-8,PsiNN,0.20215195417404175,0.01,0.996,0.9897604437227377,0.9984434118595916,0.013,0.0076128203893510256,0.022114442375579666,0.9998409999999999,1000,1000
101,linear,,,recalibrated,16qam,-8,CAE,0.0592348575592041,0.01,0.509,0.47804015149447454,0.5398909668527856,0.009,0.004742060667477063,0.01701581616533807,0.9291685000000001,1000,1000
101,linear,,,recalibrated,16qam,-8,PsiNN,0.20215195417404175,0.01,0.943,0.9268629323405141,0.9557465596412841,0.013,0.0076128203893510256,0.022114442375579666,0.9959970000000001,1000,1000
101,linear,,,recalibrated,32qam,-8,CAE,0.0592348575592041,0.01,0.503,0.4720586747142764,0.5339183647348104,0.009,0.004742060667477063,0.01701581616533807,0.9361200000000001,1000,1000
101,linear,,,recalibrated,32qam,-8,PsiNN,0.20215195417404175,0.01,0.935,0.9179944906866292,0.948676229430938,0.013,0.0076128203893510256,0.022114442375579666,0.9946389999999999,1000,1000
101,linear,,,frozen,bpsk,-6,CAE,0.0592348575592041,0.01,0.968,0.9551752619162314,0.9772428921412891,0.008,0.004059195818806103,0.015706334530980144,0.998108,1000,1000
101,linear,,,frozen,bpsk,-6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,frozen,qpsk,-6,CAE,0.0592348575592041,0.01,0.992,0.9842936654690199,0.995940804181194,0.008,0.004059195818806103,0.015706334530980144,0.999854,1000,1000
101,linear,,,frozen,qpsk,-6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,frozen,16qam,-6,CAE,0.0592348575592041,0.01,0.771,0.7439490266513543,0.7959768702494748,0.008,0.004059195818806103,0.015706334530980144,0.9817865,1000,1000
101,linear,,,frozen,16qam,-6,PsiNN,0.20215195417404175,0.01,0.999,0.9943574414020421,0.9998234536293739,0.01,0.005440754445529249,0.018309468870314774,0.999932,1000,1000
101,linear,,,frozen,32qam,-6,CAE,0.0592348575592041,0.01,0.735,0.7067846797715454,0.7614167437402437,0.008,0.004059195818806103,0.015706334530980144,0.9750885,1000,1000
101,linear,,,frozen,32qam,-6,PsiNN,0.20215195417404175,0.01,0.996,0.9897604437227377,0.9984434118595916,0.01,0.005440754445529249,0.018309468870314774,0.9993029999999999,1000,1000
101,linear,,,recalibrated,bpsk,-6,CAE,0.0592348575592041,0.01,0.968,0.9551752619162314,0.9772428921412891,0.008,0.004059195818806103,0.015706334530980144,0.998108,1000,1000
101,linear,,,recalibrated,bpsk,-6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,recalibrated,qpsk,-6,CAE,0.0592348575592041,0.01,0.992,0.9842936654690199,0.995940804181194,0.008,0.004059195818806103,0.015706334530980144,0.999854,1000,1000
101,linear,,,recalibrated,qpsk,-6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,recalibrated,16qam,-6,CAE,0.0592348575592041,0.01,0.771,0.7439490266513543,0.7959768702494748,0.008,0.004059195818806103,0.015706334530980144,0.9817865,1000,1000
101,linear,,,recalibrated,16qam,-6,PsiNN,0.20215195417404175,0.01,0.999,0.9943574414020421,0.9998234536293739,0.01,0.005440754445529249,0.018309468870314774,0.999932,1000,1000
101,linear,,,recalibrated,32qam,-6,CAE,0.0592348575592041,0.01,0.735,0.7067846797715454,0.7614167437402437,0.008,0.004059195818806103,0.015706334530980144,0.9750885,1000,1000
101,linear,,,recalibrated,32qam,-6,PsiNN,0.20215195417404175,0.01,0.996,0.9897604437227377,0.9984434118595916,0.01,0.005440754445529249,0.018309468870314774,0.9993029999999999,1000,1000
101,linear,,,frozen,bpsk,-4,CAE,0.0592348575592041,0.01,0.994,0.9869718317581478,0.9972473308581237,0.008,0.004059195818806103,0.015706334530980144,0.999798,1000,1000
101,linear,,,frozen,bpsk,-4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,frozen,qpsk,-4,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.008,0.004059195818806103,0.015706334530980144,1.0,1000,1000
101,linear,,,frozen,qpsk,-4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,frozen,16qam,-4,CAE,0.0592348575592041,0.01,0.926,0.9080945943544141,0.940645007415893,0.008,0.004059195818806103,0.015706334530980144,0.993264,1000,1000
101,linear,,,frozen,16qam,-4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,1.0,1000,1000
101,linear,,,frozen,32qam,-4,CAE,0.0592348575592041,0.01,0.93,0.9124853518487167,0.9442236358537061,0.008,0.004059195818806103,0.015706334530980144,0.993053,1000,1000
101,linear,,,frozen,32qam,-4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.01,0.005440754445529249,0.018309468870314774,0.999998,1000,1000
101,linear,,,recalibrated,bpsk,-4,CAE,0.0592348575592041,0.01,0.994,0.9869718317581478,0.9972473308581237,0.008,0.004059195818806103,0.015706334530980144,0.999798,1000,1000
