seed,condition,tx_ibo_db,rx_backoff_db,mode,modulation,snr_db,delta_pd,delta_lo,delta_hi
101,linear,,,frozen,bpsk,-10,0.345,0.315,0.374
101,linear,,,frozen,qpsk,-10,0.132,0.108,0.157
101,linear,,,frozen,16qam,-10,0.447,0.413975,0.479
101,linear,,,frozen,32qam,-10,0.429,0.396,0.4620249999999999
101,linear,,,recalibrated,bpsk,-10,0.345,0.315,0.374
101,linear,,,recalibrated,qpsk,-10,0.132,0.108,0.157
101,linear,,,recalibrated,16qam,-10,0.447,0.413975,0.479
101,linear,,,recalibrated,32qam,-10,0.429,0.396,0.4620249999999999
101,linear,,,frozen,bpsk,-8,0.136,0.115,0.157
101,linear,,,frozen,qpsk,-8,0.046,0.033,0.06
101,linear,,,frozen,16qam,-8,0.434,0.40397500000000003,0.4640249999999999
101,linear,,,frozen,32qam,-8,0.432,0.400975,0.461
101,linear,,,recalibrated,bpsk,-8,0.136,0.115,0.157
101,linear,,,recalibrated,qpsk,-8,0.046,0.033,0.06
101,linear,,,recalibrated,16qam,-8,0.434,0.40397500000000003,0.4640249999999999
101,linear,,,recalibrated,32qam,-8,0.432,0.400975,0.461
101,linear,,,frozen,bpsk,-6,0.032,0.021,0.043
101,linear,,,frozen,qpsk,-6,0.008,0.003,0.014
101,linear,,,frozen,16qam,-6,0.228,0.202,0.2530249999999999
101,linear,,,frozen,32qam,-6,0.261,0.234,0.289
101,linear,,,recalibrated,bpsk,-6,0.032,0.021,0.043
101,linear,,,recalibrated,qpsk,-6,0.008,0.003,0.014
101,linear,,,recalibrated,16qam,-6,0.228,0.202,0.2530249999999999
101,linear,,,recalibrated,32qam,-6,0.261,0.234,0.289
101,linear,,,frozen,bpsk,-4,0.006,0.002,0.011
101,linear,,,frozen,qpsk,-4,0.0,0.0,0.0
101,linear,,,frozen,16qam,-4,0.074,0.057,0.091
101,linear,,,frozen,32qam,-4,0.07,0.054,0.08602499999999985
101,linear,,,recalibrated,bpsk,-4,0.006,0.002,0.011
101,linear,,,recalibrated,qpsk,-4,0.0,0.0,0.0
101,linear,,,recalibrated,16qam,-4,0.074,0.057,0.091
101,linear,,,recalibrated,32qam,-4,0.07,0.054,0.08602499999999985
101,linear,,,frozen,bpsk,-2,0.002,0.0,0.005
101,linear,,,frozen,qpsk,-2,0.0,0.0,0.0
101,linear,,,frozen,16qam,-2,0.017,0.01,0.026
101,linear,,,frozen,32qam,-2,0.018,0.01,0.027
101,linear,,,recalibrated,bpsk,-2,0.002,0.0,0.005
101,linear,,,recalibrated,qpsk,-2,0.0,0.0,0.0
101,linear,,,recalibrated,16qam,-2,0.017,0.01,0.026
101,linear,,,recalibrated,32qam,-2,0.018,0.01,0.027
101,linear,,,frozen,bpsk,0,0.0,0.0,0.0
101,linear,,,frozen,qpsk,0,0.0,0.0,0.0
101,linear,,,frozen,16qam,0,0.003,0.0,0.007
101,linear,,,frozen,32qam,0,0.005,0.001,0.01
101,linear,,,recalibrated,bpsk,0,0.0,0.0,0.0
101,linear,,,recalibrated,qpsk,0,0.0,0.0,0.0
101,linear,,,recalibrated,16qam,0,0.003,0.0,0.007
101,linear,,,recalibrated,32qam,0,0.005,0.001,0.01
101,linear,,,frozen,bpsk,2,0.0,0.0,0.0
101,linear,,,frozen,qpsk,2,0.0,0.0,0.0
101,linear,,,frozen,16qam,2,0.001,0.0,0.003
101,linear,,,frozen,32qam,2,0.001,0.0,0.003
101,linear,,,recalibrated,bpsk,2,0.0,0.0,0.0
101,linear,,,recalibrated,qpsk,2,0.0,0.0,0.0
101,linear,,,recalibrated,16qam,2,0.001,0.0,0.003
101,linear,,,recalibrated,32qam,2,0.001,0.0,0.003
101,linear,,,frozen,bpsk,4,0.0,0.0,0.0
101,linear,,,frozen,qpsk,4,0.0,0.0,0.0
101,linear,,,frozen,16qam,4,0.0,0.0,0.0
101,linear,,,frozen,32qam,4,0.0,0.0,0.0
101,linear,,,recalibrated,bpsk,4,0.0,0.0,0.0
101,linear,,,recalibrated,qpsk,4,0.0,0.0,0.0
101,linear,,,recalibrated,16qam,4,0.0,0.0,0.0
101,linear,,,recalibrated,32qam,4,0.0,0.0,0.0
101,linear,,,frozen,bpsk,6,0.0,0.0,0.0
101,linear,,,frozen,qpsk,6,0.0,0.0,0.0
101,linear,,,frozen,16qam,6,0.0,0.0,0.0
101,linear,,,frozen,32qam,6,0.0,0.0,0.0
101,linear,,,recalibrated,bpsk,6,0.0,0.0,0.0
101,linear,,,recalibrated,qpsk,6,0.0,0.0,0.0
101,linear,,,recalibrated,16qam,6,0.0,0.0,0.0
101,linear,,,recalibrated,32qam,6,0.0,0.0,0.0
101,linear,,,frozen,bpsk,8,0.0,0.0,0.0
101,linear,,,frozen,qpsk,8,0.0,0.0,0.0
101,linear,,,frozen,16qam,8,0.0,0.0,0.0
101,linear,,,frozen,32qam,8,0.0,0.0,0.0
101,linear,,,recalibrated,bpsk,8,0.0,0.0,0.0
101,linear,,,recalibrated,qpsk,8,0.0,0.0,0.0
101,linear,,,recalibrated,16qam,8,0.0,0.0,0.0
101,linear,,,recalibrated,32qam,8,0.0,0.0,0.0
101,linear,,,frozen,bpsk,10,0.0,0.0,0.0
101,linear,,,frozen,qpsk,10,0.0,0.0,0.0
101,linear,,,frozen,16qam,10,0.0,0.0,0.0
101,linear,,,frozen,32qam,10,0.0,0.0,0.0
101,linear,,,recalibrated,bpsk,10,0.0,0.0,0.0
101,linear,,,recalibrated,qpsk,10,0.0,0.0,0.0
101,linear,,,recalibrated,16qam,10,0.0,0.0,0.0
101,linear,,,recalibrated,32qam,10,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,bpsk,-10,0.345,0.315,0.374
101,tx_9dB,9.0,,frozen,qpsk,-10,0.132,0.108,0.157
101,tx_9dB,9.0,,frozen,16qam,-10,0.447,0.413975,0.479
101,tx_9dB,9.0,,frozen,32qam,-10,0.427,0.394,0.46
101,tx_9dB,9.0,,recalibrated,bpsk,-10,0.345,0.315,0.374
101,tx_9dB,9.0,,recalibrated,qpsk,-10,0.132,0.108,0.157
101,tx_9dB,9.0,,recalibrated,16qam,-10,0.447,0.413975,0.479
101,tx_9dB,9.0,,recalibrated,32qam,-10,0.427,0.394,0.46
101,tx_9dB,9.0,,frozen,bpsk,-8,0.135,0.114,0.156
101,tx_9dB,9.0,,frozen,qpsk,-8,0.046,0.033,0.06
101,tx_9dB,9.0,,frozen,16qam,-8,0.435,0.404,0.4650249999999999
101,tx_9dB,9.0,,frozen,32qam,-8,0.432,0.400975,0.461
101,tx_9dB,9.0,,recalibrated,bpsk,-8,0.135,0.114,0.156
101,tx_9dB,9.0,,recalibrated,qpsk,-8,0.046,0.033,0.06
101,tx_9dB,9.0,,recalibrated,16qam,-8,0.435,0.404,0.4650249999999999
101,tx_9dB,9.0,,recalibrated,32qam,-8,0.432,0.400975,0.461
101,tx_9dB,9.0,,frozen,bpsk,-6,0.032,0.021,0.043
101,tx_9dB,9.0,,frozen,qpsk,-6,0.008,0.003,0.014
101,tx_9dB,9.0,,frozen,16qam,-6,0.227,0.201,0.2520249999999999
101,tx_9dB,9.0,,frozen,32qam,-6,0.262,0.235,0.29
101,tx_9dB,9.0,,recalibrated,bpsk,-6,0.032,0.021,0.043
101,tx_9dB,9.0,,recalibrated,qpsk,-6,0.008,0.003,0.014
101,tx_9dB,9.0,,recalibrated,16qam,-6,0.227,0.201,0.2520249999999999
101,tx_9dB,9.0,,recalibrated,32qam,-6,0.262,0.235,0.29
101,tx_9dB,9.0,,frozen,bpsk,-4,0.006,0.002,0.011
101,tx_9dB,9.0,,frozen,qpsk,-4,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,-4,0.073,0.056,0.09
101,tx_9dB,9.0,,frozen,32qam,-4,0.07,0.054,0.08602499999999985
101,tx_9dB,9.0,,recalibrated,bpsk,-4,0.006,0.002,0.011
101,tx_9dB,9.0,,recalibrated,qpsk,-4,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,-4,0.073,0.056,0.09
101,tx_9dB,9.0,,recalibrated,32qam,-4,0.07,0.054,0.08602499999999985
101,tx_9dB,9.0,,frozen,bpsk,-2,0.002,0.0,0.005
101,tx_9dB,9.0,,frozen,qpsk,-2,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,-2,0.017,0.01,0.026
101,tx_9dB,9.0,,frozen,32qam,-2,0.018,0.01,0.027
101,tx_9dB,9.0,,recalibrated,bpsk,-2,0.002,0.0,0.005
101,tx_9dB,9.0,,recalibrated,qpsk,-2,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,-2,0.017,0.01,0.026
101,tx_9dB,9.0,,recalibrated,32qam,-2,0.018,0.01,0.027
101,tx_9dB,9.0,,frozen,bpsk,0,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,0,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,0,0.003,0.0,0.007
101,tx_9dB,9.0,,frozen,32qam,0,0.005,0.001,0.01
101,tx_9dB,9.0,,recalibrated,bpsk,0,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,0,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,0,0.003,0.0,0.007
101,tx_9dB,9.0,,recalibrated,32qam,0,0.005,0.001,0.01
101,tx_9dB,9.0,,frozen,bpsk,2,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,2,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,2,0.001,0.0,0.003
101,tx_9dB,9.0,,frozen,32qam,2,0.001,0.0,0.003
101,tx_9dB,9.0,,recalibrated,bpsk,2,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,2,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,2,0.001,0.0,0.003
101,tx_9dB,9.0,,recalibrated,32qam,2,0.001,0.0,0.003
101,tx_9dB,9.0,,frozen,bpsk,4,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,4,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,4,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,32qam,4,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,bpsk,4,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,4,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,4,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,32qam,4,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,bpsk,6,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,6,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,6,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,32qam,6,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,bpsk,6,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,6,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,6,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,32qam,6,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,bpsk,8,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,8,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,8,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,32qam,8,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,bpsk,8,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,8,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,8,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,32qam,8,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,bpsk,10,0.0,0.0,0.0
