seed,condition,tx_ibo_db,rx_backoff_db,mode,modulation,snr_db,model,gamma,target_pfa,pd,pd_lo,pd_hi,measured_pfa,pfa_lo,pfa_hi,auc,n_signal,n_noise
101,linear,,,frozen,bpsk,-6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,bpsk,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,qpsk,-6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,qpsk,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,16qam,-6.0,CAE,0.05919378995895386,0.01,0.8125,0.5699111903802586,0.9340840092857187,0.0,0.0,0.1071791982550706,0.98828125,16,32
101,linear,,,frozen,16qam,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,32qam,-6.0,CAE,0.05919378995895386,0.01,0.8125,0.5699111903802586,0.9340840092857187,0.0,0.0,0.1071791982550706,0.96484375,16,32
101,linear,,,frozen,32qam,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,bpsk,-6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,bpsk,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,qpsk,-6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,qpsk,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,16qam,-6.0,CAE,0.05919378995895386,0.01,0.8125,0.5699111903802586,0.9340840092857187,0.0,0.0,0.1071791982550706,0.98828125,16,32
101,linear,,,recalibrated,16qam,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,32qam,-6.0,CAE,0.05919378995895386,0.01,0.8125,0.5699111903802586,0.9340840092857187,0.0,0.0,0.1071791982550706,0.96484375,16,32
101,linear,,,recalibrated,32qam,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,bpsk,6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,bpsk,6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,qpsk,6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,qpsk,6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,16qam,6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,16qam,6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,32qam,6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,frozen,32qam,6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,bpsk,6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,bpsk,6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,qpsk,6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,qpsk,6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,16qam,6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,16qam,6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,32qam,6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,linear,,,recalibrated,32qam,6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,frozen,bpsk,-6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,frozen,bpsk,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,frozen,qpsk,-6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,frozen,qpsk,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,frozen,16qam,-6.0,CAE,0.05919378995895386,0.01,0.8125,0.5699111903802586,0.9340840092857187,0.0,0.0,0.1071791982550706,0.98828125,16,32
101,tx_3dB,3.0,,frozen,16qam,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,frozen,32qam,-6.0,CAE,0.05919378995895386,0.01,0.8125,0.5699111903802586,0.9340840092857187,0.0,0.0,0.1071791982550706,0.96875,16,32
101,tx_3dB,3.0,,frozen,32qam,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,recalibrated,bpsk,-6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,recalibrated,bpsk,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,recalibrated,qpsk,-6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,recalibrated,qpsk,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,recalibrated,16qam,-6.0,CAE,0.05919378995895386,0.01,0.8125,0.5699111903802586,0.9340840092857187,0.0,0.0,0.1071791982550706,0.98828125,16,32
101,tx_3dB,3.0,,recalibrated,16qam,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,recalibrated,32qam,-6.0,CAE,0.05919378995895386,0.01,0.8125,0.5699111903802586,0.9340840092857187,0.0,0.0,0.1071791982550706,0.96875,16,32
101,tx_3dB,3.0,,recalibrated,32qam,-6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,frozen,bpsk,6.0,CAE,0.05919378995895386,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
101,tx_3dB,3.0,,frozen,bpsk,6.0,PsiNN,0.20262324810028076,0.01,1.0,0.8063923194655637,1.0,0.0,0.0,0.1071791982550706,1.0,16,32
