seed,condition,tx_ibo_db,rx_backoff_db,mode,modulation,snr_db,delta_pd,delta_lo,delta_hi
101,linear,,,frozen,bpsk,-6.0,0.0,0.0,0.0
101,linear,,,frozen,qpsk,-6.0,0.0,0.0,0.0
101,linear,,,frozen,16qam,-6.0,0.1875,0.0,0.375
101,linear,,,frozen,32qam,-6.0,0.1875,0.0625,0.37656250000000036
101,linear,,,recalibrated,bpsk,-6.0,0.0,0.0,0.0
101,linear,,,recalibrated,qpsk,-6.0,0.0,0.0,0.0
101,linear,,,recalibrated,16qam,-6.0,0.1875,0.0,0.375
101,linear,,,recalibrated,32qam,-6.0,0.1875,0.0625,0.37656250000000036
101,linear,,,frozen,bpsk,6.0,0.0,0.0,0.0
101,linear,,,frozen,qpsk,6.0,0.0,0.0,0.0
101,linear,,,frozen,16qam,6.0,0.0,0.0,0.0
101,linear,,,frozen,32qam,6.0,0.0,0.0,0.0
101,linear,,,recalibrated,bpsk,6.0,0.0,0.0,0.0
101,linear,,,recalibrated,qpsk,6.0,0.0,0.0,0.0
101,linear,,,recalibrated,16qam,6.0,0.0,0.0,0.0
101,linear,,,recalibrated,32qam,6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,bpsk,-6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,qpsk,-6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,16qam,-6.0,0.1875,0.0,0.375
101,tx_3dB,3.0,,frozen,32qam,-6.0,0.1875,0.0625,0.37656250000000036
101,tx_3dB,3.0,,recalibrated,bpsk,-6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,qpsk,-6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,16qam,-6.0,0.1875,0.0,0.375
101,tx_3dB,3.0,,recalibrated,32qam,-6.0,0.1875,0.0625,0.37656250000000036
101,tx_3dB,3.0,,frozen,bpsk,6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,qpsk,6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,16qam,6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,frozen,32qam,6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,bpsk,6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,qpsk,6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,16qam,6.0,0.0,0.0,0.0
101,tx_3dB,3.0,,recalibrated,32qam,6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,frozen,bpsk,-6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,frozen,qpsk,-6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,frozen,16qam,-6.0,0.1875,0.0,0.375
101,rx_6dB,,6.0,frozen,32qam,-6.0,0.1875,0.0625,0.37656250000000036
101,rx_6dB,,6.0,recalibrated,bpsk,-6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,recalibrated,qpsk,-6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,recalibrated,16qam,-6.0,0.1875,0.0,0.375
101,rx_6dB,,6.0,recalibrated,32qam,-6.0,0.1875,0.0625,0.37656250000000036
101,rx_6dB,,6.0,frozen,bpsk,6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,frozen,qpsk,6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,frozen,16qam,6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,frozen,32qam,6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,recalibrated,bpsk,6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,recalibrated,qpsk,6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,recalibrated,16qam,6.0,0.0,0.0,0.0
101,rx_6dB,,6.0,recalibrated,32qam,6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,frozen,bpsk,-6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,frozen,qpsk,-6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,frozen,16qam,-6.0,0.1875,0.0,0.375
101,tx_3_rx_6dB,3.0,6.0,frozen,32qam,-6.0,0.1875,0.0625,0.37656250000000036
101,tx_3_rx_6dB,3.0,6.0,recalibrated,bpsk,-6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,recalibrated,qpsk,-6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,recalibrated,16qam,-6.0,0.1875,0.0,0.375
101,tx_3_rx_6dB,3.0,6.0,recalibrated,32qam,-6.0,0.1875,0.0625,0.37656250000000036
101,tx_3_rx_6dB,3.0,6.0,frozen,bpsk,6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,frozen,qpsk,6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,frozen,16qam,6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,frozen,32qam,6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,recalibrated,bpsk,6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,recalibrated,qpsk,6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,recalibrated,16qam,6.0,0.0,0.0,0.0
101,tx_3_rx_6dB,3.0,6.0,recalibrated,32qam,6.0,0.0,0.0,0.0
